Type;CurrentTime;ClientID;MessageID;NumPackets;MsgTimeQueued;MsgTimeSent;MsgTimeDelivered;MsgTransitTime;MsgSize;MsgRealSender
RCV_MSG;102.578399808872;f48f0d10faeb4aa4ac86e20a9d9e4e5e2cd58fd4c92fcf96e2ed8e091fdf243b;81e482dca5f699e921f2c756c9e7b7b20ee5f5840fc9d0e0569635ac473f7ef6;1;101.0;101.26429504923367;102.578399808872;1.3141047596383402;2;2
RCV_MSG;103.11342250372505;f48f0d10faeb4aa4ac86e20a9d9e4e5e2cd58fd4c92fcf96e2ed8e091fdf243b;744bebe95a2c7a9816cdc1cbd56008c126624ee4a83f706300db35969edfd487;1;102.0;102.00179833293491;103.11342250372505;1.1116241707901366;2;2
RCV_MSG;104.62875846950001;f48f0d10faeb4aa4ac86e20a9d9e4e5e2cd58fd4c92fcf96e2ed8e091fdf243b;1881fc2c637760d4572ccbd0d22944f6a04b8a691009f095bc4e5e95e6f69ee2;1;101.0;101.90775617248858;104.62875846950001;2.721002297011438;2;1
RCV_MSG;106.0306887127531;f48f0d10faeb4aa4ac86e20a9d9e4e5e2cd58fd4c92fcf96e2ed8e091fdf243b;e92afdee61d180c6c5c1ce979616ab4bbdba1f6e6143fe6eeaab485503cf6091;1;103.0;104.40580326423309;106.0306887127531;1.6248854485200184;2;2
RCV_MSG;106.05705833163118;f48f0d10faeb4aa4ac86e20a9d9e4e5e2cd58fd4c92fcf96e2ed8e091fdf243b;58d6bc58da404e77003ac730620acf7fe4e4564314d2b56f416c54c7a3c99c14;1;104.0;104.63319377276822;106.05705833163118;1.4238645588629595;2;1
RCV_MSG;106.61070526567464;f48f0d10faeb4aa4ac86e20a9d9e4e5e2cd58fd4c92fcf96e2ed8e091fdf243b;d5eb67c4a632c14e3386e2b241de53f02fb34755ba1d69593570d012266ff289;1;104.0;105.34652564609434;106.61070526567464;1.264179619580304;2;2
RCV_MSG;106.84499079273802;f48f0d10faeb4aa4ac86e20a9d9e4e5e2cd58fd4c92fcf96e2ed8e091fdf243b;e521713d748f9276147b45c6959855980327590339bc8b80c1b4ef2ce49fb1bc;1;105.0;105.3526738846638;106.84499079273802;1.4923169080742156;2;2
RCV_MSG;106.8833177362568;f48f0d10faeb4aa4ac86e20a9d9e4e5e2cd58fd4c92fcf96e2ed8e091fdf243b;0e3e0dde5e6a6023e4fc4c47b40b0769e4788212f20d65d54498161306840fe6;1;102.0;103.98715425456672;106.8833177362568;2.896163481690081;2;1
RCV_MSG;106.95878374742307;f48f0d10faeb4aa4ac86e20a9d9e4e5e2cd58fd4c92fcf96e2ed8e091fdf243b;7b9d4e3325c32640fc07f37c95521bdd9534581587545c3b45600dd74a467f27;1;106.0;106.1554407381155;106.95878374742307;0.803343009307568;2;2
RCV_MSG;106.9668170761982;f48f0d10faeb4aa4ac86e20a9d9e4e5e2cd58fd4c92fcf96e2ed8e091fdf243b;6d2a681dc6d74c0ca1694fa5958b792f1625e14e7de8e77cc655a340ebccdd84;1;103.0;104.39677170726446;106.9668170761982;2.5700453689337337;2;1
